Date,Open
2016-05-31,2.952
2016-05-27,2.957
2016-05-26,2.944
2016-05-25,2.88
2016-05-24,2.901
2016-05-23,2.931
2016-05-20,2.87
2016-05-19,2.791
2016-05-18,2.859
2016-05-17,2.873
2016-05-16,2.889
2016-05-13,2.929
2016-05-12,2.97
2016-05-11,2.97
2016-05-10,2.953
2016-05-09,2.96
2016-05-06,2.996
2016-05-05,2.984
2016-05-04,2.967
2016-05-03,2.959
2016-05-02,3.0
2016-06-30,3.413
2016-06-29,3.404
2016-06-28,3.339
2016-06-27,3.288
2016-06-24,3.333
2016-06-23,3.3
2016-06-22,3.36
2016-06-21,3.32
2016-06-20,3.288
2016-06-17,3.234
2016-06-16,3.259
2016-06-15,3.256
2016-06-14,3.31
2016-06-13,3.318
2016-06-10,3.334
2016-06-09,3.242
2016-06-08,3.237
2016-06-07,3.162
2016-06-06,3.171
2016-06-03,3.162
2016-06-02,3.136
2016-06-01,3.129
2016-07-29,3.368
2016-07-28,3.275
2016-07-27,3.271
2016-07-26,3.323
2016-07-25,3.326
2016-07-22,3.249
2016-07-21,3.233
2016-07-20,3.29
2016-07-19,3.305
2016-07-18,3.373
2016-07-15,3.31
2016-07-14,3.338
2016-07-13,3.325
2016-07-12,3.335
2016-07-11,3.396
2016-07-08,3.339
2016-07-07,3.344
2016-07-06,3.381
2016-07-05,3.403
2016-07-01,3.44
2016-08-31,3.231
2016-08-30,3.291
2016-08-29,3.276
2016-08-26,3.274
2016-08-25,3.252
2016-08-24,3.192
2016-08-23,3.12
2016-08-22,3.146
2016-08-19,3.178
2016-08-18,3.176
2016-08-17,3.192
2016-08-16,3.16
2016-08-15,3.136
2016-08-12,3.148
2016-08-11,3.161
2016-08-10,3.182
2016-08-09,3.256
2016-08-08,3.248
2016-08-05,3.32
2016-08-04,3.321
2016-08-03,3.252
2016-08-02,3.297
2016-08-01,3.334
2016-09-30,3.001
2016-09-29,3.045
2016-09-28,3.03
2016-09-27,3.064
2016-09-26,3.042
2016-09-23,3.085
2016-09-22,3.118
2016-09-21,3.127
2016-09-20,3.07
2016-09-19,3.04
2016-09-16,3.029
2016-09-15,3.04
2016-09-14,3.038
2016-09-13,3.03
2016-09-12,3.005
2016-09-09,2.982
2016-09-08,2.931
2016-09-07,2.944
2016-09-06,2.951
2016-09-02,2.978
2016-09-01,3.01
2016-10-31,3.118
2016-10-28,3.063
2016-10-27,3.006
2016-10-26,3.094
2016-10-25,3.224
2016-10-24,3.263
2016-10-21,3.28
2016-10-20,3.282
2016-10-19,3.287
2016-10-18,3.277
2016-10-17,3.242
2016-10-14,3.278
2016-10-13,3.173
2016-10-12,3.164
2016-10-11,3.197
2016-10-10,3.111
2016-10-07,3.088
2016-10-06,3.066
2016-10-05,3.002
2016-10-04,2.968
2016-10-03,2.952
2016-11-30,3.266
2016-11-29,3.28
2016-11-28,3.245
2016-11-25,3.154
2016-11-23,3.06
2016-11-22,3.103
2016-11-21,3.073
2016-11-18,2.959
2016-11-17,2.974
2016-11-16,2.952
2016-11-15,2.984
2016-11-14,2.942
2016-11-11,2.869
2016-11-10,2.88
2016-11-09,2.837
2016-11-08,2.98
2016-11-07,2.987
2016-11-04,2.972
2016-11-03,2.922
2016-11-02,2.995
2016-11-01,3.059
2016-12-30,3.613
2016-12-29,3.617
2016-12-28,3.53
2016-12-27,3.56
2016-12-23,3.451
2016-12-22,3.44
2016-12-21,3.311
2016-12-20,3.41
2016-12-19,3.394
2016-12-16,3.408
2016-12-15,3.47
2016-12-14,3.395
2016-12-13,3.407
2016-12-12,3.393
2016-12-09,3.449
2016-12-08,3.391
2016-12-07,3.434
2016-12-06,3.403
2016-12-05,3.344
2016-12-02,3.358
2016-12-01,3.259
2017-01-31,3.4
2017-01-30,3.444
2017-01-27,3.482
2017-01-26,3.51
2017-01-25,3.411
2017-01-24,3.399
2017-01-23,3.305
2017-01-20,3.414
2017-01-19,3.422
2017-01-18,3.482
2017-01-17,3.514
2017-01-13,3.465
2017-01-12,3.38
2017-01-11,3.302
2017-01-10,3.211
2017-01-09,3.296
2017-01-06,3.288
2017-01-05,3.24
2017-01-04,3.325
2017-01-03,3.43
2017-02-28,2.939
2017-02-27,2.944
2017-02-24,2.96
2017-02-23,2.945
2017-02-22,2.951
2017-02-21,3.103
2017-02-17,3.177
2017-02-16,3.262
2017-02-15,3.248
2017-02-14,3.21
2017-02-13,3.275
2017-02-10,3.324
2017-02-09,3.381
2017-02-08,3.335
2017-02-07,3.281
2017-02-06,3.238
2017-02-03,3.345
2017-02-02,3.335
2017-02-01,3.315
2017-03-31,3.345
2017-03-30,3.348
2017-03-29,3.328
2017-03-28,3.28
2017-03-27,3.333
2017-03-24,3.279
2017-03-23,3.251
2017-03-22,3.295
2017-03-21,3.265
2017-03-20,3.138
2017-03-17,3.15
2017-03-16,3.16
2017-03-15,3.16
2017-03-14,3.24
2017-03-13,3.276
2017-03-10,3.218
2017-03-09,3.169
2017-03-08,3.139
2017-03-07,3.135
2017-03-06,3.191
2017-03-03,3.137
2017-03-02,3.107
2017-03-01,3.04
2017-04-28,3.424
2017-04-27,3.428
2017-04-26,3.366
2017-04-25,3.353
2017-04-24,3.386
2017-04-21,3.424
2017-04-20,3.438
2017-04-19,3.414
2017-04-18,3.414
2017-04-17,3.458
2017-04-13,3.423
2017-04-12,3.401
2017-04-11,3.464
2017-04-10,3.441
2017-04-07,3.511
2017-04-06,3.481
2017-04-05,3.481
2017-04-04,3.372
2017-04-03,3.4
2017-05-31,3.38
2017-05-30,3.462
2017-05-26,3.507
2017-05-25,3.515
2017-05-24,3.548
2017-05-23,3.607
2017-05-22,3.584
2017-05-19,3.525
2017-05-18,3.509
2017-05-17,3.521
2017-05-16,3.605
2017-05-15,3.648
2017-05-12,3.632
2017-05-11,3.583
2017-05-10,3.522
2017-05-09,3.483
2017-05-08,3.539
2017-05-05,3.489
2017-05-04,3.511
2017-05-03,3.471
2017-05-02,3.498
2017-05-01,3.54
